User_ID,Product_ID,Gender,Age,Occupation,City_Category,Stay_In_Current_City_Years,Marital_Status,Product_Category_1,Product_Category_2,Product_Category_3,Purchase
1000131,P00210942,M,18-25,4,C,4+,0,5,12.0,,6586
1000132,P00192842,M,26-35,17,C,1,0,5,14.0,,6520
1000134,P00138542,M,26-35,0,C,3,1,5,6.0,,6550
1000134,P00047242,M,26-35,0,C,3,1,1,5.0,,11348
1000136,P00148642,M,18-25,2,B,3,0,6,10.0,13.0,16667
1000139,P00150542,F,26-35,20,C,2,0,5,,,6454
1000139,P00201442,F,26-35,20,C,2,0,1,6.0,8.0,16102
1000146,P00124342,F,36-45,20,B,3,1,11,,,4667
1000147,P00165642,M,18-25,4,B,4+,0,1,8.0,16.0,11952
1000147,P00305142,M,18-25,4,B,4+,0,1,,,12967
1000148,P00359242,M,51-55,17,B,3,1,1,5.0,17.0,12671
1000148,P00084842,M,51-55,17,B,3,1,8,16.0,,7551
1000150,P00336942,M,36-45,7,B,0,1,5,,,6014
1000151,P00144242,F,26-35,20,A,1,1,5,14.0,,5971
1000151,P00015142,F,26-35,20,A,1,1,5,,,5861
1000157,P00223542,M,36-45,16,A,1,0,1,8.0,17.0,15485
1000157,P00115442,M,36-45,16,A,1,0,8,,,7354
1000157,P00129842,M,36-45,16,A,1,0,6,8.0,15.0,14602
1000157,P00287342,M,36-45,16,A,1,0,5,,,5954
1000157,P00115942,M,36-45,16,A,1,0,8,17.0,,7931
1000158,P00086342,M,55+,7,C,2,1,8,,,7996
1000161,P00014942,M,46-50,16,C,4+,1,8,,,7898
1000161,P00101542,M,46-50,16,C,4+,1,13,16.0,,1108
1000161,P00184942,M,46-50,16,C,4+,1,1,8.0,17.0,16029
1000163,P00211142,M,18-25,4,A,1,0,5,,,5800
1000163,P00198642,M,18-25,4,A,1,0,8,14.0,,6882
1000163,P00303442,M,18-25,4,A,1,0,1,8.0,14.0,11891
1000165,P00346142,M,18-25,16,A,1,0,1,15.0,,12297
1000166,P00086442,M,18-25,4,B,1,1,8,13.0,15.0,7762
1000166,P00133442,M,18-25,4,B,1,1,1,16.0,,13535
1000169,P00175842,M,26-35,7,B,3,0,5,,,6039
1000169,P00277842,M,26-35,7,B,3,0,1,,,13030
1000169,P00198742,M,26-35,7,B,3,0,1,2.0,11.0,12970
1000169,P00367042,M,26-35,7,B,3,0,8,,,7438
1000173,P00100042,M,26-35,0,B,1,1,6,10.0,,17074
1000173,P00348942,M,26-35,0,B,1,1,8,13.0,,7403
1000173,P00309242,M,26-35,0,B,1,1,5,8.0,,6356
1000173,P00029842,M,26-35,0,B,1,1,8,,,7343
1000175,P00324942,F,26-35,2,B,1,0,5,,,6044
1000175,P00084142,F,26-35,2,B,1,0,5,12.0,,6285
1000175,P00331242,F,26-35,2,B,1,0,12,17.0,,1260
1000175,P00182442,F,26-35,2,B,1,0,5,11.0,,5862
1000181,P00222842,M,18-25,17,C,1,0,8,,,7744
1000187,P00001742,F,46-50,1,B,1,0,8,14.0,,7255
1000187,P00137442,F,46-50,1,B,1,0,8,12.0,,7050
1000187,P00029342,F,46-50,1,B,1,0,8,14.0,,7255
1000191,P00234542,M,18-25,4,C,1,1,5,,,6254
1000192,P00005042,M,18-25,1,B,2,0,6,16.0,,15841
1000192,P00157142,M,18-25,1,B,2,0,11,16.0,,4713
1000193,P00310842,F,46-50,15,C,1,1,6,8.0,10.0,15813
1000195,P00154742,M,26-35,12,B,4+,1,8,14.0,16.0,7655
1000195,P00231942,M,26-35,12,B,4+,1,11,,,4563
1000195,P00280842,M,26-35,12,B,4+,1,1,8.0,,13821
1000195,P00070042,M,26-35,12,B,4+,1,1,2.0,16.0,12941
1000198,P00084142,M,26-35,12,A,0,1,5,12.0,,6048
1000198,P00258842,M,26-35,12,A,0,1,5,,,5807
1000202,P00190142,M,18-25,4,A,3,0,3,4.0,5.0,10060
1000202,P00113042,M,18-25,4,A,3,0,11,16.0,,4576
1000202,P00105242,M,18-25,4,A,3,0,11,,,4390
1000202,P00214642,M,18-25,4,A,3,0,11,13.0,16.0,4073
1000204,P00346042,M,26-35,7,B,1,1,6,8.0,15.0,14604
1000205,P00313542,M,36-45,12,A,1,0,5,8.0,,6359
1000205,P00112742,M,36-45,12,A,1,0,2,14.0,,9873
1000212,P00288942,M,26-35,16,C,3,0,1,2.0,5.0,14257
1000214,P00198042,M,18-25,20,C,1,0,11,16.0,,5109
1000215,P00034742,M,36-45,14,C,1,1,5,14.0,17.0,7480
1000216,P00189842,M,46-50,13,B,1,0,3,4.0,5.0,10408
1000216,P00253142,M,46-50,13,B,1,0,1,2.0,5.0,13998
1000216,P00175942,M,46-50,13,B,1,0,8,,,7564
1000216,P00275742,M,46-50,13,B,1,0,8,16.0,,7527
1000216,P00174242,M,46-50,13,B,1,0,15,16.0,,13009
1000216,P00054342,M,46-50,13,B,1,0,7,,,16624
1000225,P00212742,M,26-35,7,A,0,0,5,,,5864
1000225,P00145942,M,26-35,7,A,0,0,6,8.0,13.0,13888
1000227,P00229742,M,36-45,20,B,0,0,1,16.0,,13754
1000229,P0099242,M,18-25,10,C,1,0,8,14.0,,7413
1000229,P00173042,M,18-25,10,C,1,0,13,15.0,16.0,887
1000233,P00184942,F,46-50,20,C,2,1,1,8.0,17.0,16051
1000235,P00117642,M,26-35,0,B,0,0,10,16.0,,19639
1000238,P00088442,F,51-55,7,B,0,0,8,,,7642
1000245,P00145042,M,36-45,16,B,0,0,1,2.0,5.0,13929
1000245,P00221742,M,36-45,16,B,0,0,1,8.0,,13927
1000245,P00044442,M,36-45,16,B,0,0,1,16.0,,13746
1000245,P00123342,M,36-45,16,B,0,0,11,,,4670
1000248,P00015542,M,18-25,17,B,1,1,1,2.0,13.0,12236
1000249,P00274042,F,18-25,14,C,2,0,1,,,13369
1000249,P00250642,F,18-25,14,C,2,0,11,,,4951
1000249,P00102242,F,18-25,14,C,2,0,8,12.0,,7253
1000257,P00002442,M,18-25,18,A,1,0,8,15.0,,7328
1000257,P00139942,M,18-25,18,A,1,0,5,,,5826
1000262,P00074642,F,26-35,1,C,1,0,5,9.0,14.0,5996
1000264,P00111942,M,36-45,0,B,1,1,8,17.0,,7986
1000264,P00193542,M,36-45,0,B,1,1,1,2.0,,14150
1000268,P00127842,F,18-25,12,C,1,0,1,2.0,15.0,13334
1000271,P00183242,M,18-25,4,C,1,0,5,15.0,,6460
1000272,P00042142,M,18-25,0,A,1,0,1,2.0,6.0,12234
1000272,P00244042,M,18-25,0,A,1,0,1,2.0,15.0,12761
1000278,P00348642,M,46-50,18,C,4+,1,5,11.0,,6321
1000283,P00016042,M,26-35,0,B,1,0,1,16.0,,13659
1000284,P00182542,M,26-35,12,B,3,1,5,11.0,,5801
1000289,P00110742,F,26-35,0,C,1,0,1,2.0,8.0,15200
1000293,P00062842,M,55+,1,C,1,1,1,2.0,13.0,12905
1000300,P00297942,M,26-35,7,B,4+,1,8,,,7380
1000301,P00024042,M,18-25,4,B,4+,0,7,,,16434
1000302,P00048142,M,18-25,4,B,4+,0,1,16.0,,13625
1000302,P00102042,M,18-25,4,B,4+,0,5,,,5975
1000302,P00220342,M,18-25,4,B,4+,0,5,,,5975
1000307,P00114542,M,51-55,16,B,0,1,5,,,6163
1000308,P00010842,M,26-35,2,A,3,1,8,16.0,,7175
1000308,P0094542,M,26-35,2,A,3,1,2,4.0,9.0,10635
1000308,P00153842,M,26-35,2,A,3,1,8,14.0,16.0,7478
1000309,P00303242,M,26-35,4,B,1,0,5,8.0,,6429
1000309,P00201442,M,26-35,4,B,1,0,1,6.0,8.0,15664
1000311,P00120042,M,18-25,4,C,3,1,1,2.0,,14411
1000312,P00118542,F,51-55,2,B,0,0,5,8.0,,6645
1000312,P00145242,F,51-55,2,B,0,0,2,4.0,,10494
1000313,P00112142,F,18-25,4,A,4+,0,1,2.0,14.0,14100
1000314,P00050242,F,55+,9,C,1,0,8,,,8088
1000314,P00295942,F,55+,9,C,1,0,2,5.0,15.0,12503
1000319,P00324442,F,51-55,6,B,3,1,11,13.0,16.0,4455
1000319,P00155042,F,51-55,6,B,3,1,6,16.0,,16087
1000319,P00085242,F,51-55,6,B,3,1,8,14.0,17.0,7852
1000320,P00115942,M,36-45,6,C,4+,0,8,17.0,,8456
1000321,P00265242,M,18-25,4,B,3,0,5,8.0,,6380
1000321,P00163442,M,18-25,4,B,3,0,6,8.0,13.0,13992
1000324,P00273442,M,36-45,17,B,0,1,12,14.0,17.0,1161
1000326,P00331042,M,51-55,11,B,1,1,5,8.0,,6574
1000326,P00151742,M,51-55,11,B,1,1,8,15.0,16.0,7006
1000327,P00118142,M,36-45,18,C,4+,0,8,17.0,,8478
1000328,P00046742,M,36-45,12,C,2,0,1,2.0,15.0,13443
1000329,P00125642,M,36-45,7,A,1,0,5,14.0,,6048
1000329,P00270842,M,36-45,7,A,1,0,5,,,5938
1000329,P00171342,M,36-45,7,A,1,0,13,16.0,,547
1000331,P00184842,M,26-35,7,B,1,0,5,6.0,,6244
1000333,P00128242,M,36-45,2,A,0,1,5,12.0,14.0,5831
1000335,P00146142,M,36-45,18,C,0,1,1,2.0,15.0,13372
1000337,P00191442,M,18-25,19,C,0,0,1,2.0,15.0,13308
1000340,P00331942,F,26-35,3,C,1,1,5,,,6349
1000342,P00117942,M,18-25,12,C,4+,0,5,15.0,,6499
1000343,P00218642,F,36-45,3,B,2,0,5,,,6119
1000344,P00240042,M,36-45,14,C,1,1,5,,,6404
1000346,P00184942,F,26-35,0,B,2,0,1,8.0,17.0,15579
1000346,P00059442,F,26-35,0,B,2,0,6,8.0,16.0,15880
1000348,P00281742,M,51-55,7,B,2,1,5,8.0,18.0,7340
1000349,P00347642,M,0-17,10,C,0,0,1,6.0,,12118
1000349,P00015542,M,0-17,10,C,0,0,1,2.0,13.0,12584
1000350,P00058042,M,46-50,20,C,3,0,8,16.0,,7925
1000352,P00109742,M,18-25,4,A,0,0,8,,,7192
1000352,P00324442,M,18-25,4,A,0,0,11,13.0,16.0,4048
1000352,P00067842,M,18-25,4,A,0,0,6,10.0,16.0,15980
1000355,P00293242,M,18-25,3,B,2,0,8,16.0,,7319
1000355,P00194642,M,18-25,3,B,2,0,1,6.0,13.0,11060
1000356,P00194242,M,55+,20,C,0,1,11,16.0,,5365
1000361,P00184442,F,26-35,14,B,3,0,1,6.0,8.0,15730
1000364,P00021742,F,36-45,1,C,3,0,5,,,6493
1000365,P00182742,F,18-25,4,A,1,0,1,2.0,14.0,14075
1000368,P00279542,M,26-35,0,C,1,0,8,,,7778
1000368,P00039242,M,26-35,0,C,1,0,1,15.0,,12853
1000377,P00353142,M,26-35,17,B,2,0,5,,,6049
1000380,P00307542,M,26-35,2,C,1,0,1,15.0,,12856
1000380,P00324942,M,26-35,2,C,1,0,5,,,6382
1000381,P00002942,M,36-45,17,C,2,0,2,15.0,,11014
1000385,P0097142,M,26-35,6,C,1,0,12,,,1560
1000386,P00134642,M,26-35,0,A,1,1,5,,,5793
1000386,P00295842,M,26-35,0,A,1,1,5,8.0,,6205
1000388,P00199442,F,26-35,0,B,3,1,5,9.0,,6116
1000389,P00237542,M,26-35,6,C,0,0,1,15.0,16.0,14732
1000390,P00341942,M,26-35,4,A,0,0,11,15.0,16.0,3919
1000392,P00366542,M,18-25,7,A,0,0,5,,,5798
1000392,P00051442,M,18-25,7,A,0,0,8,17.0,,7774
1000393,P00084442,M,36-45,17,C,4+,0,13,16.0,,1110
1000398,P00113242,M,26-35,17,B,3,1,1,6.0,8.0,15639
1000398,P00136742,M,26-35,17,B,3,1,1,14.0,16.0,12893
1000402,P00344442,M,26-35,11,B,1,1,5,8.0,14.0,6335
1000407,P00024942,M,18-25,17,C,1,0,5,,,6344
1000411,P00319142,F,46-50,1,B,0,1,5,14.0,,6209
1000411,P00295942,F,46-50,1,B,0,1,2,5.0,15.0,11914
1000411,P00074342,F,46-50,1,B,0,1,5,,,6099
1000412,P00302942,M,36-45,15,A,1,1,8,,,7286
1000415,P00049642,F,36-45,0,A,2,1,8,14.0,,6980
1000415,P00344242,F,36-45,0,A,2,1,8,10.0,,8179
1000419,P00241642,M,18-25,3,C,1,0,1,2.0,11.0,13249
1000422,P00204342,M,55+,17,A,4+,0,15,16.0,,13023
1000422,P00235942,M,55+,17,A,4+,0,11,15.0,16.0,4239
1000424,P00162442,M,26-35,17,A,3,0,1,16.0,,13556
1000424,P00204342,M,26-35,17,A,3,0,15,16.0,,12751
1000424,P00349142,M,26-35,17,A,3,0,11,,,4480
1000425,P00321742,M,26-35,12,B,1,1,5,8.0,17.0,6378
1000425,P00183242,M,26-35,12,B,1,1,5,15.0,,6106
1000425,P00014042,M,26-35,12,B,1,1,1,,,12958
1000432,P00078742,M,46-50,16,C,1,1,5,8.0,14.0,6845
1000437,P00343042,M,36-45,17,C,2,1,5,18.0,,6411
1000438,P00183242,M,18-25,11,A,3,0,5,15.0,,5970
1000438,P00325742,M,18-25,11,A,3,0,2,9.0,,9789
1000438,P00152942,M,18-25,11,A,3,0,5,,,5830
1000438,P0095342,M,18-25,11,A,3,0,2,4.0,,10091
1000438,P00238642,M,18-25,11,A,3,0,1,5.0,,10849
1000442,P00260042,M,26-35,1,A,2,0,5,8.0,,6281
1000442,P00120642,M,26-35,1,A,2,0,5,,,5869
1000444,P00216742,M,55+,0,A,3,0,5,,,6138
1000451,P00116842,M,55+,13,C,4+,1,2,5.0,8.0,13926
1000453,P00130442,M,18-25,4,B,1,0,3,5.0,,10610
1000453,P00177842,M,18-25,4,B,1,0,8,,,7350
1000453,P00347742,M,18-25,4,B,1,0,7,,,16409
1000454,P00337842,M,26-35,20,C,2,1,5,,,6358
1000454,P00183342,M,26-35,20,C,2,1,5,15.0,18.0,5978
1000457,P00242742,M,18-25,4,B,2,0,1,2.0,9.0,14410
1000461,P00285742,M,51-55,7,B,0,0,8,,,7611
1000461,P00065342,M,51-55,7,B,0,0,2,15.0,,10742
1000462,P00127242,M,18-25,16,C,1,1,1,16.0,,13926
1000478,P00156442,M,51-55,16,A,2,0,8,,,7494
1000480,P00163442,F,18-25,4,C,1,0,6,8.0,13.0,14375
1000482,P00196542,M,26-35,14,A,2,1,5,8.0,14.0,6198
1000482,P00193742,M,26-35,14,A,2,1,8,15.0,,7328
1000482,P00302142,M,26-35,14,A,2,1,5,14.0,,5937
1000498,P00052842,M,36-45,17,A,1,0,10,15.0,,19943
1000499,P00101942,F,26-35,1,A,1,0,8,17.0,,7868
1000508,P00103042,M,26-35,12,B,0,0,1,14.0,,13183
1000509,P00130842,M,26-35,2,A,0,1,5,14.0,,5898
1000509,P00046742,M,26-35,2,A,0,1,1,2.0,15.0,12757
1000509,P00009342,M,26-35,2,A,0,1,1,16.0,,13438
1000509,P00000642,M,26-35,2,A,0,1,1,6.0,16.0,13277
1000513,P00085242,M,26-35,0,C,4+,0,8,14.0,17.0,8056
1000515,P00085242,M,26-35,1,A,0,1,8,14.0,17.0,7440
1000518,P00067942,F,36-45,12,C,4+,0,5,14.0,,6632
1000518,P00004742,F,36-45,12,C,4+,0,6,16.0,,16410
1000520,P00140042,F,36-45,20,A,2,0,1,16.0,,13650
1000520,P00130742,F,36-45,20,A,2,0,1,14.0,17.0,14658
1000520,P00123742,F,36-45,20,A,2,0,11,,,4574
1000520,P00198042,F,36-45,20,A,2,0,11,16.0,,4760
1000524,P00136142,M,18-25,0,A,0,0,6,16.0,,15673
1000524,P00191442,M,18-25,0,A,0,0,1,2.0,15.0,12753
1000524,P00101542,M,18-25,0,A,0,0,13,16.0,,394
1000524,P00040242,M,18-25,0,A,0,0,5,16.0,,5628
1000529,P00270542,M,36-45,12,C,1,0,1,6.0,8.0,16114
1000529,P00126142,M,36-45,12,C,1,0,8,16.0,,7828
1000530,P00346142,M,26-35,2,A,1,1,1,15.0,,12271
1000533,P00145042,M,26-35,12,A,1,0,1,2.0,5.0,13714
1000536,P00233442,M,26-35,20,C,1,0,1,2.0,15.0,13384
1000540,P00214642,M,18-25,1,B,1,0,11,13.0,16.0,4201
1000541,P00004842,F,18-25,4,C,3,0,3,4.0,12.0,10203
1000543,P00129342,M,26-35,5,B,4+,1,1,5.0,15.0,11443
1000546,P00216342,F,26-35,0,B,0,0,3,4.0,5.0,10275
1000549,P00206742,M,26-35,6,A,3,0,11,15.0,,4341
1000550,P00110742,M,46-50,8,B,1,1,1,2.0,8.0,14881
1000550,P00000242,M,46-50,8,B,1,1,2,4.0,9.0,10912
1000550,P00182142,M,46-50,8,B,1,1,1,5.0,6.0,13662
1000550,P00221842,M,46-50,8,B,1,1,1,8.0,,13921
1000553,P00033642,M,26-35,2,B,1,0,5,8.0,,6425
1000554,P00370242,M,26-35,12,C,0,1,5,,,6327
1000556,P00106042,F,26-35,9,B,4+,0,5,,,6081
1000556,P00192542,F,26-35,9,B,4+,0,1,2.0,9.0,14532
1000559,P00314142,F,26-35,7,C,1,0,8,16.0,,7784
1000561,P00324942,F,18-25,14,C,3,1,5,,,6320
1000566,P00319342,M,26-35,17,A,3,0,5,8.0,,6319
1000566,P00017542,M,26-35,17,A,3,0,5,,,5907
1000566,P00192042,M,26-35,17,A,3,0,5,9.0,14.0,5492
1000566,P00151742,M,26-35,17,A,3,0,8,15.0,16.0,6751
1000566,P00212042,M,26-35,17,A,3,0,13,15.0,,445
1000566,P00338542,M,26-35,17,A,3,0,1,,,12899
1000568,P00046742,F,51-55,17,C,1,1,1,2.0,15.0,13541
1000577,P00304442,M,36-45,0,A,3,0,1,16.0,,13590
1000585,P00112142,M,18-25,1,A,1,0,1,2.0,14.0,14039
1000587,P00015142,M,26-35,20,B,3,0,5,,,6063
1000588,P00343042,F,26-35,11,B,1,0,5,18.0,,6053
1000588,P00233542,F,26-35,11,B,1,0,1,15.0,,12535
1000588,P00319542,F,26-35,11,B,1,0,8,14.0,,7142
1000590,P00131242,F,36-45,6,C,1,0,8,,,7885
1000591,P00265242,M,26-35,0,C,1,0,5,8.0,,6791
1000601,P00182642,F,18-25,20,B,3,1,2,4.0,9.0,10784
1000601,P00250842,F,18-25,20,B,3,1,8,,,7361
1000602,P00032342,F,55+,6,C,2,0,11,15.0,,5146
1000604,P00328142,M,46-50,17,C,2,1,8,16.0,,7846
1000604,P00276642,M,46-50,17,C,2,1,8,11.0,,6682
1000608,P00063342,M,18-25,4,C,3,1,1,2.0,9.0,14721
1000608,P00074442,M,18-25,4,C,3,1,1,16.0,,13920
1000611,P00059442,M,36-45,0,C,1,0,6,8.0,16.0,16276
1000620,P00135742,M,18-25,0,A,3,0,6,8.0,,15803
1000624,P00074642,M,26-35,1,B,3,0,5,9.0,14.0,5613
1000624,P00184142,M,26-35,1,B,3,0,8,14.0,,7109
1000624,P0096142,M,26-35,1,B,3,0,3,4.0,,9409
1000630,P00205442,F,36-45,14,C,2,0,5,8.0,14.0,6880
1000631,P00321742,M,36-45,17,C,3,1,5,8.0,17.0,6839
1000634,P00000142,F,0-17,10,C,4+,0,3,4.0,5.0,10564
1000637,P00052842,M,36-45,12,B,2,1,10,15.0,,20027
1000638,P00113942,M,26-35,6,C,1,1,8,,,7723
1000638,P00324742,M,26-35,6,C,1,1,2,9.0,14.0,11823
1000639,P00183642,M,46-50,17,B,2,1,4,5.0,9.0,2094
1000641,P00118442,F,36-45,0,A,2,1,1,2.0,,14038
1000643,P00346442,M,26-35,2,C,0,1,1,2.0,14.0,14553
1000643,P00355142,M,26-35,2,C,0,1,1,15.0,,12782
1000646,P00277442,M,36-45,7,C,2,0,1,6.0,15.0,12840
1000647,P00262242,M,36-45,12,B,1,1,1,11.0,16.0,12185
1000647,P00259442,M,36-45,12,B,1,1,5,,,6032
1000648,P00355642,F,26-35,12,B,1,1,16,,,14672
1000648,P00242742,F,26-35,12,B,1,1,1,2.0,9.0,14447
1000649,P00283942,M,26-35,4,B,2,1,5,,,5959
1000651,P00110942,M,36-45,7,B,2,0,1,2.0,,14237
1000651,P00057642,M,36-45,7,B,2,0,1,15.0,16.0,14447
1000651,P00120742,M,36-45,7,B,2,0,8,12.0,17.0,7215
1000652,P00112642,M,18-25,20,C,3,0,1,2.0,5.0,14199
1000655,P00339042,F,26-35,2,B,2,0,5,,,6052
1000656,P00085242,F,46-50,16,C,3,1,8,14.0,17.0,8174
1000669,P00142142,M,26-35,17,B,2,0,1,2.0,15.0,13017
1000673,P00014642,M,26-35,20,A,4+,0,8,14.0,17.0,7573
1000678,P00317842,M,26-35,0,A,0,1,8,,,7184
1000678,P00352142,M,26-35,0,A,0,1,1,6.0,16.0,13273
1000678,P00266242,M,26-35,0,A,0,1,11,,,4358
1000678,P00243942,M,26-35,0,A,0,1,1,2.0,15.0,12753
1000680,P00031142,M,26-35,12,C,1,0,16,,,15077
1000687,P00173942,F,26-35,7,C,4+,0,1,5.0,6.0,14018
1000687,P00147742,F,26-35,7,C,4+,0,1,16.0,,14096
1000687,P00165442,F,26-35,7,C,4+,0,1,15.0,16.0,14797
1000692,P00227742,F,26-35,0,A,0,1,5,14.0,,5925
1000692,P00248542,F,26-35,0,A,0,1,8,16.0,,7177
1000692,P00197442,F,26-35,0,A,0,1,8,14.0,,6897
1000692,P00182442,F,26-35,0,A,0,1,5,11.0,,5634
1000697,P00120942,F,51-55,6,A,3,1,8,,,7448
1000697,P00174442,F,51-55,6,A,3,1,5,,,6049
1000700,P00124742,M,51-55,17,C,1,1,10,16.0,,20179
1000702,P00278642,M,36-45,7,B,2,1,5,,,6030
1000702,P00331042,M,36-45,7,B,2,1,5,8.0,,6443
1000702,P00331342,M,36-45,7,B,2,1,8,16.0,,7392
1000702,P00085942,M,36-45,7,B,2,1,2,4.0,8.0,12005
1000702,P00130742,M,36-45,7,B,2,1,1,14.0,17.0,14688
1000705,P00266142,M,26-35,4,C,0,1,5,11.0,,6130
1000705,P00226842,M,26-35,4,C,0,1,11,,,4885
1000706,P00022442,M,36-45,20,B,2,0,8,16.0,,7482
1000710,P00173042,M,26-35,20,A,4+,0,13,15.0,16.0,476
1000710,P00150842,M,26-35,20,A,4+,0,11,13.0,16.0,4177
1000710,P00143642,M,26-35,20,A,4+,0,1,2.0,6.0,12361
1000710,P00204342,M,26-35,20,A,4+,0,15,16.0,,12765
1000710,P00118442,M,26-35,20,A,4+,0,1,2.0,,14061
1000710,P00037342,M,26-35,20,A,4+,0,8,11.0,,6118
1000710,P00111342,M,26-35,20,A,4+,0,5,,,5920
1000712,P00189842,M,26-35,0,B,2,0,3,4.0,5.0,10261
1000714,P00112142,M,18-25,4,B,2,0,1,2.0,14.0,14203
1000718,P00216142,M,18-25,2,C,2,0,1,16.0,,13974
1000720,P00074642,M,18-25,0,B,0,0,5,9.0,14.0,5521
1000720,P00230942,M,18-25,0,B,0,0,5,14.0,,6045
1000721,P00131342,F,36-45,9,B,1,0,5,,,6122
1000722,P00344742,M,26-35,12,B,4+,0,5,,,6056
1000724,P00365242,M,51-55,13,B,2,1,5,8.0,,6586
